31-03-2026 19:21:51 | POST | cafeteria-api/produtos
31-03-2026 19:21:51 | POST | cafeteria-api/produtos
31-03-2026 19:21:51 | POST | cafeteria-api/produtos
31-03-2026 19:21:51 | POST | cafeteria-api/produtos
31-03-2026 19:21:51 | POST | cafeteria-api/produtos
31-03-2026 19:21:51 | POST | cafeteria-api/produtos
31-03-2026 19:21:51 | POST | cafeteria-api/produtos
31-03-2026 19:21:52 | POST | cafeteria-api/produtos
31-03-2026 19:25:34 | GET | cafeteria-api/produtos
31-03-2026 19:25:37 | POST | cafeteria-api/produtos
31-03-2026 19:25:37 | POST | cafeteria-api/produtos
31-03-2026 19:25:37 | POST | cafeteria-api/produtos
31-03-2026 19:25:37 | POST | cafeteria-api/produtos
31-03-2026 19:25:37 | POST | cafeteria-api/produtos
31-03-2026 19:25:38 | POST | cafeteria-api/produtos
31-03-2026 19:25:38 | POST | cafeteria-api/produtos
31-03-2026 19:25:38 | POST | cafeteria-api/produtos
31-03-2026 19:25:38 | POST | cafeteria-api/produtos
31-03-2026 19:25:38 | POST | cafeteria-api/produtos
31-03-2026 19:25:38 | POST | cafeteria-api/produtos
31-03-2026 19:25:38 | POST | cafeteria-api/produtos
31-03-2026 19:25:38 | POST | cafeteria-api/produtos
31-03-2026 19:25:39 | POST | cafeteria-api/produtos
31-03-2026 19:25:39 | POST | cafeteria-api/produtos
31-03-2026 19:25:39 | POST | cafeteria-api/produtos
31-03-2026 19:25:39 | POST | cafeteria-api/produtos
31-03-2026 19:25:39 | POST | cafeteria-api/produtos
31-03-2026 19:25:39 | POST | cafeteria-api/produtos
31-03-2026 19:25:40 | POST | cafeteria-api/produtos
31-03-2026 19:25:40 | POST | cafeteria-api/produtos
31-03-2026 19:25:40 | POST | cafeteria-api/produtos
31-03-2026 19:25:40 | POST | cafeteria-api/produtos
31-03-2026 19:25:40 | POST | cafeteria-api/produtos
31-03-2026 19:27:47 | GET | cafeteria-api/produtos
31-03-2026 19:27:52 | POST | cafeteria-api/produtos
31-03-2026 19:28:12 | GET | cafeteria-api/produtos
31-03-2026 19:28:12 | GET | cafeteria-api/categorias
31-03-2026 19:28:13 | GET | cafeteria-api/categorias
31-03-2026 19:28:14 | GET | cafeteria-api/produtos
31-03-2026 19:30:28 | POST | cafeteria-api/produtos
31-03-2026 19:33:18 | GET | cafeteria-api/produtos
31-03-2026 19:33:21 | POST | cafeteria-api/produtos
31-03-2026 19:33:22 | POST | cafeteria-api/produtos
31-03-2026 19:33:22 | POST | cafeteria-api/produtos
31-03-2026 19:33:22 | POST | cafeteria-api/produtos
31-03-2026 19:33:24 | POST | cafeteria-api/produtos
31-03-2026 19:33:26 | POST | cafeteria-api/produtos
31-03-2026 19:33:26 | POST | cafeteria-api/produtos
31-03-2026 19:33:26 | POST | cafeteria-api/produtos
31-03-2026 19:33:27 | POST | cafeteria-api/produtos
31-03-2026 19:33:27 | POST | cafeteria-api/produtos
31-03-2026 19:33:27 | POST | cafeteria-api/produtos
31-03-2026 19:33:27 | POST | cafeteria-api/produtos
31-03-2026 19:33:28 | POST | cafeteria-api/produtos
31-03-2026 19:33:28 | POST | cafeteria-api/produtos
31-03-2026 19:33:28 | POST | cafeteria-api/produtos
31-03-2026 19:33:28 | POST | cafeteria-api/produtos
